"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4033","has title","webkit","Mon Jun 09 22:01:08 MDT 2025","passed","Mon Jun 09 22:01:12 MDT 2025","","getting_started_example.spec.ts","",""
"","26703","Go To Spain","Mobile Chrome","Mon Jun 09 22:02:17 MDT 2025","broken","Mon Jun 09 22:02:44 MDT 2025","Testing Livescore Page","locators.spec.ts","",""
"","2989","has title","Mobile Chrome","Mon Jun 09 22:01:23 MDT 2025","passed","Mon Jun 09 22:01:26 MDT 2025","","getting_started_example.spec.ts","",""
"","23986","Go To Spain","webkit","Mon Jun 09 22:01:18 MDT 2025","skipped","Mon Jun 09 22:01:42 MDT 2025","Testing Livescore Page","locators.spec.ts","",""
"","25422","get started link","firefox","Mon Jun 09 22:00:34 MDT 2025","broken","Mon Jun 09 22:00:59 MDT 2025","","getting_started_example.spec.ts","",""
"","27172","Go To La Liga","Mobile Chrome","Mon Jun 09 22:02:15 MDT 2025","broken","Mon Jun 09 22:02:42 MDT 2025","Testing Livescore Page","locators.spec.ts","",""
"","7775","get started link","webkit","Mon Jun 09 22:01:13 MDT 2025","passed","Mon Jun 09 22:01:21 MDT 2025","","getting_started_example.spec.ts","",""
"","26198","has title","firefox","Mon Jun 09 22:00:33 MDT 2025","broken","Mon Jun 09 22:01:00 MDT 2025","","getting_started_example.spec.ts","",""
"","25506","has title","chromium","Mon Jun 09 21:59:17 MDT 2025","passed","Mon Jun 09 21:59:42 MDT 2025","","getting_started_example.spec.ts","",""
"","36334","Go To La Liga","firefox","Mon Jun 09 22:01:22 MDT 2025","broken","Mon Jun 09 22:01:59 MDT 2025","Testing Livescore Page","locators.spec.ts","",""
"","19979","get started link","Mobile Chrome","Mon Jun 09 22:01:27 MDT 2025","passed","Mon Jun 09 22:01:47 MDT 2025","","getting_started_example.spec.ts","",""
"","27545","Go To Spain","firefox","Mon Jun 09 22:00:38 MDT 2025","broken","Mon Jun 09 22:01:05 MDT 2025","Testing Livescore Page","locators.spec.ts","",""
"","36973","Go To Spain","chromium","Mon Jun 09 21:59:53 MDT 2025","broken","Mon Jun 09 22:00:30 MDT 2025","Testing Livescore Page","locators.spec.ts","",""
"","25925","Go To La Liga","webkit","Mon Jun 09 22:01:22 MDT 2025","skipped","Mon Jun 09 22:01:48 MDT 2025","Testing Livescore Page","locators.spec.ts","",""
"","28559","Go To La Liga","chromium","Mon Jun 09 21:59:17 MDT 2025","passed","Mon Jun 09 21:59:45 MDT 2025","Testing Livescore Page","locators.spec.ts","",""
"","27272","get started link","chromium","Mon Jun 09 21:59:17 MDT 2025","passed","Mon Jun 09 21:59:44 MDT 2025","","getting_started_example.spec.ts","",""
